Year,School,gradTotal,Type,Ownership
107,義守大學,160,General,Private
107,聖約翰科技大學,38,Tech,Private
107,育達科技大學,50,Tech,Private
107,致理科技大學,12,Tech,Private
107,臺北城市科技大學,27,Tech,Private
107,臺北醫學大學,231,General,Private
107,臺灣觀光學院,4,Tech,Private
107,華夏科技大學,8,Tech,Private
107,華梵大學,50,General,Private
107,萬能科技大學,34,Tech,Private
107,輔仁大學,611,General,Private
107,輔英科技大學,49,Tech,Private
107,逢甲大學,655,General,Private
107,遠東科技大學,82,Tech,Private
107,醒吾科技大學,22,Tech,Private
107,銘傳大學,267,General,Private
107,長庚大學,412,General,Private
107,長庚科技大學,21,Tech,Private
107,長榮大學,117,General,Private
107,開南大學,70,General,Private
107,靜宜大學,184,General,Private
107,馬偕醫學院,12,General,Private
107,台鋼科技大學,49,Tech,Private
107,高雄醫學大學,246,General,Private
107,龍華科技大學,104,Tech,Private
108,世新大學,188,General,Private
108,中信金融管理學院,28,General,Private
108,中原大學,590,General,Private
108,中國文化大學,326,General,Private
108,中國科技大學,45,Tech,Private
108,中國醫藥大學,202,General,Private
108,中山醫學大學,173,General,Private
108,中州科技大學,8,Tech,Private
108,中臺科技大學,22,Tech,Private
108,中華大學,217,General,Private
108,中華科技大學,68,Tech,Private
108,中華醫事科技大學,26,Tech,Private
108,亞東科技大學,10,Tech,Private
108,亞洲大學,169,General,Private
108,佛光大學,124,General,Private
108,修平科技大學,22,Tech,Private
108,健行科技大學,125,Tech,Private
108,僑光科技大學,18,Tech,Private
108,元培醫事科技大學,60,Tech,Private
108,元智大學,286,General,Private
108,南亞技術學院,9,Tech,Private
108,南臺科技大學,230,Tech,Private
108,南華大學,219,General,Private
108,南開科技大學,36,Tech,Private
108,台北海洋科技大學,38,Tech,Private
108,台南應用科技大學,21,Tech,Private
108,台灣首府大學,17,General,Private
108,吳鳳科技大學,23,Tech,Private
108,和春技術學院,3,Tech,Private
108,嘉南藥理大學,92,Tech,Private
108,國立中央大學,1368,General,Public
108,國立中山大學,1014,General,Public
108,國立中正大學,918,General,Public
108,國立中興大學,1277,General,Public
108,國立交通大學,1912,General,Public
108,國立勤益科技大學,249,Tech,Public
108,國立嘉義大學,411,General,Public
108,國立宜蘭大學,164,General,Public
108,國立屏東大學,270,General,Public
108,國立屏東科技大學,382,Tech,Public
108,國立彰化師範大學,453,General,Public
108,國立成功大學,2662,General,Public
108,國立政治大學,1234,General,Public
108,國立暨南國際大學,248,General,Public
108,國立東華大學,370,General,Public
108,國立清華大學,1717,General,Public
108,國立澎湖科技大學,24,Tech,Public
108,國立聯合大學,159,General,Public
108,國立臺中教育大學,200,General,Public
108,國立臺中科技大學,128,Tech,Public
108,國立臺北商業大學,117,Tech,Public
108,國立臺北大學,418,General,Public
108,國立臺北教育大學,251,General,Public
108,國立臺北科技大學,1198,Tech,Public
108,國立臺北藝術大學,201,General,Public
108,國立臺北護理健康大學,136,Tech,Public
108,國立臺南大學,203,General,Public
108,國立臺南藝術大學,123,General,Public
108,國立臺東大學,81,General,Public
108,國立臺灣大學,3500,General,Public
108,國立臺灣師範大學,1135,General,Public
108,國立臺灣海洋大學,568,General,Public
108,國立臺灣科技大學,1525,Tech,Public
108,國立臺灣藝術大學,157,General,Public
108,國立臺灣體育運動大學,44,General,Public
108,國立虎尾科技大學,374,Tech,Public
108,國立金門大學,54,General,Public
108,國立陽明大學,470,General,Public
108,國立雲林科技大學,705,Tech,Public
108,國立體育大學,106,General,Public
108,國立高雄大學,194,General,Public
108,國立高雄師範大學,306,General,Public
108,國立高雄科技大學,1005,Tech,Public
108,國立高雄餐旅大學,59,Tech,Public
108,大仁科技大學,25,Tech,Private
108,大同大學,124,General,Private
108,大漢技術學院,21,Tech,Private
108,大葉大學,295,General,Private
108,實踐大學,105,General,Private
108,崇右影藝科技大學,32,Tech,Private
108,崑山科技大學,110,Tech,Private
108,嶺東科技大學,63,Tech,Private
108,康寧大學,15,General,Private
108,建國科技大學,58,Tech,Private
108,弘光科技大學,53,Tech,Private
108,德明財經科技大學,10,Tech,Private
108,慈濟大學,100,General,Private
108,慈濟科技大學,10,Tech,Private
108,文藻外語大學,24,Tech,Private
108,明志科技大學,170,Tech,Private
108,明新科技大學,75,Tech,Private
108,明道大學,37,General,Private
108,景文科技大學,14,Tech,Private
108,朝陽科技大學,230,Tech,Private
108,東南科技大學,51,Tech,Private
108,東吳大學,316,General,Private
108,東方設計大學,44,Tech,Private
108,東海大學,360,General,Private
108,樹德科技大學,57,Tech,Private
108,正修科技大學,116,Tech,Private
108,法鼓文理學院,38,General,Private
108,淡江大學,632,General,Private
108,玄奘大學,46,General,Private
108,環球科技大學,28,Tech,Private
108,真理大學,30,General,Private
108,稻江科技暨管理學院,25,General,Private
108,德育護理健康學院,11,Tech,Private
108,美和科技大學,30,Tech,Private
108,義守大學,128,General,Private
108,聖約翰科技大學,31,Tech,Private
108,育達科技大學,34,Tech,Private
108,致理科技大學,18,Tech,Private
108,臺北城市科技大學,21,Tech,Private
108,臺北醫學大學,251,General,Private
108,臺灣觀光學院,2,Tech,Private
108,華夏科技大學,7,Tech,Private
108,華梵大學,42,General,Private
108,萬能科技大學,27,Tech,Private
108,輔仁大學,578,General,Private
108,輔英科技大學,36,Tech,Private
108,逢甲大學,639,General,Private
108,遠東科技大學,95,Tech,Private
108,醒吾科技大學,19,Tech,Private
108,銘傳大學,252,General,Private
108,長庚大學,349,General,Private
108,長庚科技大學,16,Tech,Private
108,長榮大學,100,General,Private
108,開南大學,65,General,Private
108,靜宜大學,167,General,Private
108,馬偕醫學院,9,General,Private
108,台鋼科技大學,22,Tech,Private
108,高雄醫學大學,223,General,Private
108,龍華科技大學,76,Tech,Private
109,世新大學,184,General,Private
109,中信金融管理學院,38,General,Private
109,中原大學,590,General,Private
109,中國文化大學,345,General,Private
109,中國科技大學,38,Tech,Private
109,中國醫藥大學,192,General,Private
109,中山醫學大學,182,General,Private
109,中州科技大學,5,Tech,Private
109,中臺科技大學,50,Tech,Private
109,中華大學,150,General,Private
109,中華科技大學,91,Tech,Private
109,中華醫事科技大學,29,Tech,Private
109,亞洲大學,201,General,Private
109,佛光大學,131,General,Private
109,修平科技大學,16,Tech,Private
109,健行科技大學,118,Tech,Private
109,僑光科技大學,32,Tech,Private
109,元培醫事科技大學,78,Tech,Private
109,元智大學,331,General,Private
109,南亞技術學院,1,Tech,Private
109,南臺科技大學,256,Tech,Private
109,南華大學,198,General,Private
109,南開科技大學,34,Tech,Private
109,台北海洋科技大學,51,Tech,Private
109,台南應用科技大學,27,Tech,Private
109,台灣首府大學,12,General,Private
109,吳鳳科技大學,20,Tech,Private
109,和春技術學院,1,Tech,Private
109,嘉南藥理大學,73,Tech,Private
109,國立中央大學,1412,General,Public
109,國立中山大學,1143,General,Public
109,國立中正大學,1015,General,Public
109,國立中興大學,1412,General,Public
109,國立勤益科技大學,260,Tech,Public
109,國立嘉義大學,398,General,Public
109,國立宜蘭大學,142,General,Public
109,國立屏東大學,237,General,Public
109,國立屏東科技大學,372,Tech,Public
109,國立彰化師範大學,523,General,Public
109,國立成功大學,2775,General,Public
109,國立政治大學,1176,General,Public
109,國立暨南國際大學,272,General,Public
109,國立東華大學,375,General,Public
109,國立清華大學,1936,General,Public
109,國立澎湖科技大學,19,Tech,Public
109,國立聯合大學,159,General,Public
109,國立臺中教育大學,169,General,Public
109,國立臺中科技大學,143,Tech,Public
